,model,silhouette_score,mean_similarity,integration_set
0,simcse,0.075628854,0.5389796295852682,25ksep11
1,valentwin-noneg,0.80668795,0.9033501213235637,25ksep11
2,valentwin-neg,0.8472506,0.9298015402523406,25ksep11
3,valentwin-neginter,0.48857263,0.8199497440422986,25ksep11
4,simcse,0.078932784,0.42628977062391293,500spend
5,valentwin-noneg,0.7445039,0.7794100677220769,500spend
6,valentwin-neg,0.86328113,0.8420704275467327,500spend
7,valentwin-neginter,0.6321179,0.779016627097881,500spend
8,simcse,0.066758886,0.6022701920816544,1009ipopayments
9,valentwin-noneg,0.87362844,0.9365291515018073,1009ipopayments
10,valentwin-neg,0.9140174,0.9572096088352189,1009ipopayments
11,valentwin-neginter,0.7449258,0.869944316969891,1009ipopayments
12,simcse,0.10918364,0.42459465770867216,amo-ame
13,valentwin-noneg,0.59317064,0.8792339771548553,amo-ame
14,valentwin-neg,0.6064948,0.873535978564846,amo-ame
15,valentwin-neginter,0.5112215,0.8412990580248205,amo-ame
16,simcse,0.19492547,0.5405931492851123,chicago_parks
17,valentwin-noneg,0.6935979,0.8329285732539373,chicago_parks
18,valentwin-neg,0.6712703,0.8410361296683224,chicago_parks
19,valentwin-neginter,0.51886094,0.752582545105192,chicago_parks
20,simcse,0.03661404,0.43741645006852814,cihr
21,valentwin-noneg,0.6954372,0.8800232547454973,cihr
22,valentwin-neg,0.67574495,0.8809711371542309,cihr
23,valentwin-neginter,0.35257342,0.725322482799578,cihr
24,simcse,0.09012027,0.5785025013665777,DCMS_NHM_NHM
25,valentwin-noneg,0.8921253,0.9314788281858564,DCMS_NHM_NHM
26,valentwin-neg,0.9128729,0.9465358443197681,DCMS_NHM_NHM
27,valentwin-neginter,0.6641096,0.8516899323921882,DCMS_NHM_NHM
28,simcse,0.07186968,0.36315077999144024,organogram-junior
29,valentwin-noneg,0.38885275,0.7586173058983647,organogram-junior
30,valentwin-neg,0.41230252,0.717487414497815,organogram-junior
31,valentwin-neginter,0.26913407,0.5941798298642774,organogram-junior
32,simcse,-0.060896248,0.5973342159771786,school_report
33,valentwin-noneg,-0.0691224,0.820449476160062,school_report
34,valentwin-neg,0.08407531,0.5633667088172493,school_report
35,valentwin-neginter,-0.0027891996,0.509582653288217,school_report
36,simcse,0.00442526,0.4744819650420179,stockport_contracts
37,valentwin-noneg,0.47511357,0.8620955732731902,stockport_contracts
38,valentwin-neg,0.48728165,0.8718247078760379,stockport_contracts
39,valentwin-neginter,0.22838737,0.688833395533529,stockport_contracts
40,simcse,0.064359814,0.38145978282891463,academic_papers
41,valentwin-noneg,0.5508944,0.7107692669863735,academic_papers
42,valentwin-neg,0.5337571,0.7020605259925778,academic_papers
43,valentwin-neginter,0.19189192,0.6154905901253667,academic_papers
44,simcse,0.07530038,0.4193271767667901,books
45,valentwin-noneg,0.54839677,0.7374334338711683,books
46,valentwin-neg,0.49077126,0.7491675383723966,books
47,valentwin-neginter,0.18927245,0.5960903401309661,books
48,simcse,0.15309937,0.37630301792442966,cosmetics
49,valentwin-noneg,0.70545167,0.8266972670868562,cosmetics
50,valentwin-neg,0.7156061,0.8270064655243272,cosmetics
51,valentwin-neginter,0.39981106,0.7398252664863014,cosmetics
52,simcse,0.066371955,0.372633945116797,movies
53,valentwin-noneg,0.4538351,0.8363022109673331,movies
54,valentwin-neg,0.3862486,0.6967036847979257,movies
55,valentwin-neginter,0.1671506,0.48522570260061515,movies
56,simcse,0.059864428,0.35869186756921195,restaurants
57,valentwin-noneg,0.50532836,0.7380168249324465,restaurants
58,valentwin-neg,0.49901912,0.7282679001609172,restaurants
59,valentwin-neginter,0.17858356,0.6137381173142551,restaurants
