,precision,recall,f1_score,precision_at_10_percent,precision_at_30_percent,precision_at_50_percent,precision_at_70_percent,precision_at_90_percent,recall_at_sizeof_ground_truth
alite-bert-base-uncased-l2,0.5,0.19939577039274925,0.28509719222462204,0.39285714285714285,0.4101796407185629,0.39676840215439857,0.4012820512820513,0.40219560878243515,0.33610271903323263
coma_schema,0.8391038696537678,0.622356495468278,0.714657415437988,0.9809523809523809,0.9616613418530351,0.9712092130518234,0.952054794520548,0.8710021321961621,0.6457703927492447
coma_schema_instance,0.8446411012782694,0.6487915407854985,0.7338744126441692,1.0,0.9783950617283951,0.9721706864564007,0.9496688741721855,0.8805355303810505,0.6774924471299094
cupid,0.9366925064599483,0.547583081570997,0.6911344137273594,0.9931972789115646,0.9954648526077098,0.9455040871934605,0.7672833495618305,0.6056018168054504,0.6042296072507553
deepjoin-all-mpnet-base-v2-coltotext-title-colname-stat-col-shuffle-0.2-epochs-1-bs-16-lr-2e-05-wd-0.01-warmup-None,0.781203007518797,0.7847432024169184,0.7829691032403919,0.7496991576413959,0.2611311672683514,0.15681790829221326,0.11382393397524071,0.08852634394223054,0.783987915407855
distribution_based,0.926829268292683,0.14350453172205438,0.24852844996729892,0.84,0.8648648648648649,0.8770491803278688,0.8830409356725146,0.8863636363636364,0.1608761329305136
jaccard,0.8444055944055944,0.3648036253776435,0.509493670886076,1.0,0.9166666666666666,0.7971360381861575,0.7103918228279387,0.6357615894039735,0.41918429003021146
similarity_flooding,0.6616541353383458,0.6646525679758308,0.6631499623210249,0.4085439229843562,0.18953068592057762,0.13202551450234684,0.10359353507565337,0.08658732281358653,0.4743202416918429
starmie-model_drop_nan_col_random_column_0,0.7124528301886792,0.7129909365558912,0.7127217818044544,0.6503244412400865,0.2750661216638615,0.1745527986151183,0.1295208655332303,0.10395127033742085,0.6646525679758308
starmie-model_drop_num_col_random_column_0-ft,0.7289156626506024,0.7311178247734139,0.7300150829562594,0.6482155863073562,0.302574065080136,0.18740891868259982,0.13573436036223588,0.10637953367875648,0.6555891238670695
valentwin-movies-n-100-hn-10-selective-neg-lr-3e5-bs-512-ep-10-emd-cnw-04-cos,0.793984962406015,0.797583081570997,0.7957799547852299,0.6871239470517448,0.2490974729241877,0.15344806835961006,0.11055708390646492,0.08732281358652046,0.8096676737160121
